diagym,predictData,realData
2016-05,22481.217816658616,24354.0
2016-06,19010.08159728716,19255.0
2016-07,17831.54550706467,17535.0
2016-08,17287.072056148652,16710.0
2016-09,22723.185315037263,16063.0
2016-10,19968.299866220234,19161.0
2016-11,22951.13260306384,21939.0
2016-12,29721.081894168095,27149.0
2017-01,24658.963686743937,17927.0
2017-02,21868.77398229049,16970.0
2017-03,19278.11454188978,20587.0
2017-04,23042.47454854296,20996.0
2017-05,20671.337280726773,19356.0
2017-06,15771.907286787547,17558.0
