diagym,predictData,realData
2016-05,25111.462826830742,25140.0
2016-06,18649.578406742407,20234.0
2016-07,21248.521103060666,19797.0
2016-08,16446.700019680444,19495.0
2016-09,24177.48411646627,22241.0
2016-10,23825.940685561945,25853.0
2016-11,25737.162481645526,28161.0
2016-12,31256.52122331203,30252.0
2017-01,27530.745782339814,25964.0
2017-02,29706.127309719748,24161.0
2017-03,26314.7354807024,27238.0
2017-04,20312.14428723605,30364.0
2017-05,27338.299136875365,25609.0
2017-06,22408.006684234835,22960.0
