diagym,predictData,realData
2016-05,21855.881890176624,20426.0
2016-06,17894.687910519388,16318.0
2016-07,16748.366318091226,14989.0
2016-08,15053.106255438517,13368.0
2016-09,20258.877012185712,17298.0
2016-10,21751.21921905997,16424.0
2016-11,19398.32575070965,20302.0
2016-12,25361.23675918815,22107.0
2017-01,17825.111402385064,18236.0
2017-02,22689.88968081987,16107.0
2017-03,19297.78198982338,15519.0
2017-04,15003.840959807332,19381.0
2017-05,15157.329094682143,17867.0
2017-06,13840.643030767387,16747.0
