diagym,predictData,realData
2016-05,25638.567131638552,26318.0
2016-06,22169.630221294978,21213.0
2016-07,20859.539393308496,19515.0
2016-08,19249.430662728282,18381.0
2016-09,26682.523218211598,21623.0
2016-10,26795.40976296537,24028.0
2016-11,26960.562395044148,23576.0
2016-12,28144.06312859316,27149.0
2017-01,25271.07953379501,21018.0
2017-02,27711.732869224565,20997.0
2017-03,18535.097873687795,21854.0
2017-04,21038.672992688687,23580.0
2017-05,21026.493016443797,21738.0
2017-06,17179.220685173186,19449.0
