diagym,predictData,realData
2016-05,26246.205993224503,26318.0
2016-06,20524.9912663368,21866.0
2016-07,20451.17999132165,20080.0
2016-08,21435.4526881449,18660.0
2016-09,25185.27262694303,19770.0
2016-10,23140.041801823005,18857.0
2016-11,24726.39947086307,21612.0
2016-12,27537.6402880293,26761.0
2017-01,24042.1528825439,18545.0
2017-02,24423.14595797778,17833.0
2017-03,17664.98585334046,20270.0
2017-04,20770.745367161224,20673.0
2017-05,17787.798449452734,18760.0
2017-06,15120.426601674415,18098.0
